,filename,contents,target
0,00249.5f45607c1bffe89f60ba1ec9f878039a,"Dear Homeowner,
 
Interest Rates are at their lowest point in 40 years!

We help you find the best rate for your situation by
matching your needs with hundreds of lenders!

Home Improvement, Refinance, Second Mortgage,
Home Equity Loans, and More! Even with less than
perfect credit!

This service is 100% FREE to home owners and new
home buyers without any obligation. 

Just fill out a quick, simple form and jump-start
your future plans today!


Visit http://61.145.116.186/user0201/index.asp?Afft=QM10






To unsubscribe, please visit:

http://61.145.116.186/light/watch.asp


",1
1,0355.94ebf637e4bd3db8a81c8ce68ecf681d,"Friend,Now you can copy DVD's and Games
http://www.terra.es/personal9/iop1008/

BACKUP DVD VIDEO's WITH YOUR CD-R BURNER

With 321 studio's software, you can now copy
any DVD and Playstation Game.  Never buy another 
backup DVD movie again.  Just copy it!

This is the first time this software is being made
available to the public. All the software you need 
to burn your own DVD Video, is included in 321 Studio's 
software package DVD Copy Plus!  The movies will play 
in a standard DVD player. With detailed, easy to follow, 
step-by-step instructions, you can BURN your own DVD 
Video using nothing more than your DVD-ROM 
and CD-R drives. Purchase a copy! Click below.

http://www.terra.es/personal9/iop1008/

Order today and receive!

*Step by Step Interactive Instructions
*All Software Tools Included On CD
*No DVD Burner Required
*FREE Live Technical Support
*30 Day Risk Free Trial Available

With DVD Copy Plus you can backup Your DVD Movies with 
the same 74min or 80min CD-R's you've used in the past 
to create audio CD's. Our software compresses the large 
DVD files on your standard DVD to VCD, SVCD, and DivX 
much the same way the popular MP3 format compresses audio.  
Order today and start burning
http://www.terra.es/personal9/iop1008/

Thank You,

CopymyDVD


http://inglesa.net/unsub.php?client=atomicDOT



We take your privacy very seriously and it is our policy never to send
unwanted email messages. This message has been sent to zzzz@example.com
because you originally joined one of our member sites or you signed up
with a party that has contracted with atomicDOT. Please
http://tilw.net/unsub.php?client=atomicDOT&msgid=17090200005
to Unsubscribe (replying to this email WILL NOT unsubscribe you). 





TRCK:atomicDOT;mp*qhwqrwhlqf!frp;8;


Backup your DVD's
With DVDCopyPlus 
          and PowerCDR5.0 you can copy and burn your
DVD Movies
Playstation
MP3s, AVIs and all 
            other multimedia Files
Software, Music 
            CDs (perfect RAW data duplication)
NEW! Burn to CD-R 
            or DVD-R
Protect your 
          investments by backing up your CD, DVD, MP3, Data and Game collections 
          with burned copies that really work! Separately, DVDCopyPlus and PowerCDR5.0 
          are over $100 worth of software that you can purchase bundled right 
          now for just $49.99!
THAT'S 50% OFF!
MORE DETAILS
ORDER NOW
We take your privacy very seriously and it is our policy never to send unwanted email messages.  This message has been sent to zzzz@example.com because you originally joined one of our member sites or you signed up with a party that has contracted with atomicDOT.  Please
Click Here
to Unsubscribe
(replying to this email WILL NOT unsubscribe you).
<>
TRCK:atomicDOT;mp*qhwqrwhlqf!frp;8;",1
2,0395.bb934e8b4c39d5eab38f828a26f760b4," Pocket the newest 8 year annuity!	 Pocket the newest 8 year
annuity!	
 	 ...from Safe Harbor Financial	
 	5% Guaranteed for 8 Years (effective yield)	 
 	8 Year Surrender Period	  	 Please fax back contracts with
a copy of your insurance
license to 215-564-0155.
Click Here to Contract <http://iiq.us/images/sh/0903/sh_mony_app.pdf>  	
 	Issued to Age 90	 
 	A Rated Company	 
 	Alternative 10 Year Guaranteed Plan	 

Call today for more information!
 
- or -

Please fill out the form below for more information	 
Name:	 	  	
Address:	 	 
City:	       State:       Zip:  	
Phone:	       Fax:  	
E-mail:	 	 
 	    	
 
  
We don't want anyone to receive our mailings who does not wish to
receive them. This is a professional communication sent to insurance
professionals. To be removed from this mailing list, DO NOT REPLY to
this message. Instead, go here: http://www.insuranceiq.com/optout
<http://www.insuranceiq.com/optout/> 

Legal Notice <http://www.insiq.com/legal.htm> 
5% Guaranteed for Eight Years
5% Guaranteed for 8 Years
(effective yield)
8 Year Surrender Period
Please fax back contracts with
a copy of your insurance
license to 215-564-0155.
Issued to Age 90
A Rated Company
Alternative 10 Year Guaranteed Plan
Call today for more information!
- or -
Please fill out the form below for more information
Name:
Address:
City:
State:
Zip:
Phone:
Fax:
E-mail:
We don't want anyone to receive our mailings who does not 
			wish to receive them. This is a professional communication 
			sent to insurance professionals. To be removed from this mailing 
			list,
DO NOT REPLY
to this message. Instead, go here:
http://www.insuranceiq.com/optout
Legal Notice",1
3,0485.9021367278833179285091e5201f5854,"Congratulations! You Get a Free Handheld Organizer!
Dear Friend,
I have your Personal Digital Organizer. It's FREE, but I need to know where to send it.
Click
                Here
and complete the form.
Organize your life and keep track of
            appointments, names and numbers with this modern digital organizer.
            Store up to 100 important text notes and 100 names/numbers.
            Features easy to use, touch-screen technology, 10 digit calculator,
            currency and metric converters, alarm clock and password
            protection.
Plus you can try all of our money-saving benefits
            FREE for 30 days.
Act
            Now!
You also get a full subscription to HOME Magazine at no additional cost!
This offer is risk-free
, registration only takes a minute and is completely secure.
It's that easy. Your satisfaction is guaranteed because our credibility is on the line.
P.S.:
This offer is only valid for the next 48 hours, so Act Now!
Copyright 2002, American Homeowners Association (AHA). All rights reserved.
You are receiving this mailing because you are a
member of SendGreatOffers.com and subscribed as:JM@NETNOTEINC.COM
To unsubscribe
Click Here
(http://admanmail.com/subscription.asp?em=JM@NETNOTEINC.COM&l=SGO)
or reply to this email with REMOVE in the subject line - you must
also include the body of this message to be unsubscribed. Any correspondence about
the products/services should be directed to
the company in the ad.
%EM%JM@NETNOTEINC.COM%/EM%",1
4,00373.ebe8670ac56b04125c25100a36ab0510,"ATTENTION: This is a MUST for ALL Computer Users!!!

*NEW-Special Package Deal!*

Norton SystemWorks 2002 Software Suite -Professional Edition-

Includes Six - Yes 6! - Feature-Packed Utilities
ALL For 1 Special LOW Price!

This Software Will:
- Protect your computer from unwanted and hazardous viruses
- Help secure your private & valuable information
- Allow you to transfer files and send e-mails safely
- Backup your ALL your data quick and easily
- Improve your PC's performance w/superior integral diagnostics!

6 Feature-Packed Utilities...1 Great Price!
A $300+ Combined Retail Value!

YOURS for Only $29.99!  <Includes FREE Shipping!>

Don't fall prey to destructive viruses or hackers!
Protect  your computer and your valuable information!


So don't delay...get your copy TODAY!


http://euro.specialdiscounts4u.com/
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
This email has been screened and filtered by our in house """"OPT-OUT"""" system in 
compliance with state laws. If you wish to ""OPT-OUT"" from this mailing as well 
as the lists of thousands  of other email providers please visit  

http://dvd.specialdiscounts4u.com/optoutd.html
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


",1
5,0343.0630afbe4ee1ffd0db0ffb81c6de98de,"CONSANTLY
being
bombarded by so-called “FREE” money-making systems that teases you with limited
information, and when it’s all said and done, blind-sides you by demanding your
money/credit card information upfront in some slick way,
after-the-fact
!
Yes, I too was as skeptical about such offers and the Internet in general with
all its hype, as you probably are. Fortunate for me, my main business
slowed-down (
I have been self-employed all my life
), so I looked for
something to fit my lifestyle and some other way to assist me in paying my
bills, without working myself to death or loosing more money; then, this
proposal to try something new without any upfront investment (
great! because
I had none
) interested me to click on the link provided. And I don’t regret
at all that I did! I am very happy, and happy enough to recommend it to you as
a system that is true to its word. I mean absolutely no upfront money. You join
only if (
when
) you make money. You also get to track the results of your
time and efforts instantly and updated daily! I especially liked this idea of
personal control with real-time, staying informed statistics.
This system is quite simply
the most logical, opened, and fair of any others that I’ve seen before. Why?
Because from the start, you get all the specific facts you need to seriously
consider if this is right for you.  No teasing. No grand testimonies! No
kidding! Just the facts! Unlike in other programs that give you “no idea” of
their overall plan before first forking over your money/credit card; or worst
yet, joining and finding-out too late, after wasting valuable time trying to
figure them out, this system is straightforward and informative, providing you
with the two things you really must know: “
What’s it all about
?” and “
How
does it work
?”. These are the ultimate deal makers or deal breakers that
need to be immediately disclosed, well before discovering that maybe you don’t
want to do that; by then you are “hooked” and now locked into a frustrating
battle to try to get your money back!
I call this my “Platinum
Choice” because it stands alone as a true, superior deal that is totally
different from previously misleading, “hook-first” programs that promise lofty
mega-money jackpots, but really just want your money upfront to line their own
pockets! You’ve seen the headlines: “
Join free and Make $10,000 every week
for life
” yeah, right!
I did not make millions yet,
but the whole thing was launched just a few weeks ago and I am more than happy
with my earnings, so far. I must tell you, I wouldn’t be able to do anything
without corporate help – which was unusually thorough, timely, and motivating.
You have to see this in action
for yourself and make up your own mind; just go to my site and fill out the
form as soon as you can. You will get your own site in a few minutes. Then you
are ready to try whether you can make some decent money with this system and
the Internet’s explosive potential - fully loaded with hi-tech software, free
corporate help, on-time member’s support and even protective safeguards!
Get it now, and you can call me
at any time with questions. It really could help you like it is helping me to
finally be able to pay my bills, and keep my free time free.  Good luck!
http://www.mindupmerchants.com/default.asp?ID=5581
Ben Green, (775) 322-3323
P.S.Free POP3 email is ofered for members now!",1
6,00214.1367039e50dc6b7adb0f2aa8aba83216," We dare you...
 Try to find a better annuity!
 
  - 5.40% Guaranteed for 6 Years
- 6 Year Surrender Charge
- 5% Agent
Commission up to age 80	
Call today for more information!
 800-888-7641 ext. 103
- or -

Please fill out the form below for more information	 
Name:	 	  	
E-mail:	 	 
Phone:	 	 
City:	 	 State:	 	 
 	    	
 
 PMG Financial Services
*5.40% for deposits of $100,000 and up, 5.25% interest for deposits
totalling $25,000-$99,999.	 
We don't want anyone to receive our mailings who does not wish to
receive them. This is a professional communication sent to insurance
professionals. To be removed from this mailing list, DO NOT REPLY to
this message. Instead, go here: http://www.insuranceiq.com/optout
<http://www.insuranceiq.com/optout/> 

Legal Notice <http://www.insiq.com/legal.htm> 
We Dare You to Find a Better Annuity
Call today for more information!
- or -
Please fill out the form below for more information
Name:
E-mail:
Phone:
City:
State:
*5.40% for deposits of $100,000 and up, 5.25% interest for deposits totalling $25,000-$99,999.
We 
			don't want anyone to receive our mailings who does not 
			wish to receive them. This is a professional communication 
			sent to insurance professionals. To be removed from this mailing 
			list,
DO NOT REPLY
to this message. Instead, go here:
http://www.insuranceiq.com/optout
Legal Notice",1
7,0125.44381546181fc6c5d7ea59e917f232c5,"YOUR SEX DRIVE SHOULD NEVER BE SECOND ON THE LIST!!!
VIAGRA ONLINE NOW AND SHIPPED WITHIN 24 HOURS!
http://buy-onlinepills.com/main2.php?rx=16372

STAY HARD THE WAY YOU ONCE COULD!!!
LESS THAN $7.00 PER DOSE TO MAKE IT ALL HAPPEN AGAIN!
http://buy-onlinepills.com/main2.php?rx=16372

DON'T SETTLE FOR LESS, KEEP YOUR LOVER HAPPY!
http://buy-onlinepills.com/main2.php?rx=16372

No Doctor office's to visit.  Simply fill  out our
online form, and our U.S. Doctor will write your
prescription and send it within 48 hours.

http://buy-onlinepills.com/main2.php?rx=16372

MOST MAJOR PRESCRIPTION DRUGS ALSO!

CLICK BELOW FOR MORE INFORMATION:

http://buy-onlinepills.com/main2.php?rx=16372



We are strongly against sending unsolicited emails to those who do not wish to receive our special mailings. You have opted in to one or more of our affiliate sites requesting to be notified of any special offers we may run from time to time. We also have attained the services of an independent 3rd party to overlook list management and removal services. This is NOT unsolicited email. If you do not wish to receive further mailings, please click here http://greenzer.com/remove.php to be removed from the list. Please accept our apologies if you have been sent this email in error. We honor all removal requests.

",1
8,00210.050ffd105bd4e006771ee63cabc59978,"IMPORTANT INFORMATION:

The new domain names are finally available to the general public at discount prices. Now you can register one of the exciting new .BIZ or .INFO domain names, as well as the original .COM and .NET names for just $14.95. These brand new domain extensions were recently approved by ICANN and have the same rights as the original .COM and .NET domain names. The biggest benefit is of-course that the .BIZ and .INFO domain names are currently more available. i.e. it will be much easier to register an attractive and easy-to-remember domain name for the same price.  Visit: http://www.affordable-domains.com today for more info.
 
Register your domain name today for just $14.95 at: http://www.affordable-domains.com/  Registration fees include full access to an easy-to-use control panel to manage your domain name in the future.
 
Sincerely,
 
Domain Administrator
Affordable Domains


To remove your email address from further promotional mailings from this company, click here:
http://www.centralremovalservice.com/cgi-bin/domain-remove.cgi
(g1-ss2)5592OxeR3-424uQKh2259kCdl5-189GEil31









",1
9,0108.4506c2ef846b80b9a7beb90315b22701,"Digital Publishing Tools - Free Software Alert!
Publish Like a Professional with Digital Publishing Tools
Easily Create Professional:
eBooks
eBrochures
eCatalogs
Resumes
Newsletters
Presentations
Magazines
Photo Albums
Invitations
Much, much more
Save MONEY! - Save Trees
Save on Printing, Postage and Advertising Costs
DIGITAL PUBLISHING TOOLS
DOWNLOAD NEW FREE Version NOW!
*Limited Time Offer
Choose from these
Display Styles:
3D Page Turn
Slide Show
Sweep/Wipe
Embed hyperlinks and Link to anywhere Online, 

such as your Website, Order Page or Contact Form.
Distribute via Floppy, CD-ROM, E-Mail or Online.
Take your Marketing to the Next Level!
For
More Info
,
Samples
or a
FREE Download
, click the appropriate link to the right!  
Server demand is extremely high for this limited time
Free Software
offer.
Please try these links periodically if a site seems slow or unreachable.
WEBSITE 1
WEBSITE 2
WEBSITE 3
If you wish to be removed from our mailing list, please cick the Unsubscribe button
Copyright © 2002 - Affiliate ID #1269
*FREE Version is FULLY FUNCTIONAL with NO EXPIRATION and has a 4 page (2 page spread) limit.",1
